Ticker,Link,Labels
ADBE,https://seekingalpha.com/article/4030878-adobe-systems-adbe-ceo-shantanu-narayen-q4-2016-results-earnings-call-transcript?part=single,[]
ADBE,https://seekingalpha.com/article/4007460-adobe-systems-adbe-ceo-shantanu-narayen-q3-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.75 <span class=""green"">beats by $0.02</span></div>\n<div>Revenue of $1.46B (+ 19.7% Y/Y) <span class=""green""> beats by $10M</span></div>\n</div>]"
ADBE,https://seekingalpha.com/article/3983513-adobe-systems-adbe-ceo-shantanu-narayen-q2-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.71 <span class=""green"">beats by $0.03</span></div>\n<div>Revenue of $1.4B (+ 20.7% Y/Y) <span class=""""> </span></div>\n</div>]"
ADBE,https://seekingalpha.com/article/3959405-adobes-adbe-ceo-shantanu-narayen-q1-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.66 <span class=""green"">beats by $0.05</span></div>\n<div>Revenue of $1.38B (+ 24.3% Y/Y) <span class=""green""> beats by $40M</span></div>\n</div>]"
ADBE,https://seekingalpha.com/article/3748916-adobes-adbe-ceo-shantanu-narayen-q4-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.62 <span class=""green"">beats by $0.02</span></div>\n<div>Revenue of $1.31B (+ 22.4% Y/Y) <span class=""""> </span></div>\n</div>]"
ADBE,https://seekingalpha.com/article/3519296-adobe-systems-adbe-ceo-shantanu-narayen-q3-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.54 <span class=""green"">beats by $0.04</span></div>\n<div>Revenue of $1.22B (+ 20.8% Y/Y) <span class=""green""> beats by $10M</span></div>\n</div>]"
ADBE,https://seekingalpha.com/article/3263605-adobes-adbe-ceo-shantanu-narayen-on-q2-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.48 <span class=""green"">beats by $0.03</span></div>\n<div>Revenue of $1.16B (+ 8.4% Y/Y) <span class=""""> </span></div>\n</div>]"
ADBE,https://seekingalpha.com/article/3008736-adobes-adbe-ceo-shantanu-narayen-on-q1-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.44 <span class=""green"">beats by $0.05</span></div>\n<div>Revenue of $1.11B (+ 11.0% Y/Y) <span class=""green""> beats by $20M</span></div>\n</div>]"
ADBE,https://seekingalpha.com/article/2500185-adobe-systems-adbe-ceo-shantanu-narayen-on-q3-2014-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.28 <span class=""green"">beats by $0.02</span></div>\n<div>Revenue of $1B (+ 0.5% Y/Y) <span class=""red""> misses by $-20M</span></div>\n</div>]"
ADBE,https://seekingalpha.com/article/2273773-adobe-systems-adbe-ceo-shantanu-narayen-on-f2q-2014-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.37 <span class=""green"">beats by $0.07</span></div>\n<div>Revenue of $1.07B (+ 5.9% Y/Y) <span class=""green""> beats by $40M</span></div>\n</div>]"
ADBE,https://seekingalpha.com/article/2096663-adobe-systems-ceo-discusses-f1q2014-results-earnings-call-transcript?part=single,[]
ADBE,https://seekingalpha.com/article/1896501-adobe-systems-management-discusses-q4-2013-results-earnings-call-transcript?part=single,[]
ADBE,https://seekingalpha.com/article/1699852-adobe-systems-management-discusses-q3-2013-results-earnings-call-transcript?part=single,[]
ADBE,https://seekingalpha.com/article/1509222-adobe-systems-management-discusses-q2-2013-results-earnings-call-transcript?part=single,[]
AMD,https://seekingalpha.com/article/4067646-advanced-micro-devices-amd-q1-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $-0.04 <span class=""""> </span></div>\n<div>Revenue of $984M (+ 18.3% Y/Y) <span class=""red""> misses by $-0.38M</span></div>\n</div>]"
AMD,https://seekingalpha.com/article/4041296-advanced-micro-devices-amd-q4-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $-0.01 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $1.11B (+ 15.9% Y/Y) <span class=""green""> beats by $40M</span></div>\n</div>]"
AMD,https://seekingalpha.com/article/4013705-advanced-micro-devices-amd-lisa-su-q3-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.03 <span class=""green"">beats by $0.04</span></div>\n<div>Revenue of $1.3B (+ 22.6% Y/Y) <span class=""green""> beats by $90M</span></div>\n</div>]"
AMD,https://seekingalpha.com/article/3990485-advanced-micro-devices-amd-lisa-t-su-q2-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $-0.05 <span class=""green"">beats by $0.03</span></div>\n<div>Revenue of $1.02B (+ 8.3% Y/Y) <span class=""green""> beats by $68.71M</span></div>\n</div>]"
AMD,https://seekingalpha.com/article/3967192-advanced-micro-devices-amd-lisa-t-su-q1-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $-0.12 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $832M (- 19.2% Y/Y) <span class=""green""> beats by $13.84M</span></div>\n</div>]"
AAP,https://seekingalpha.com/article/4076278-advance-auto-parts-aap-ceo-tom-greco-q1-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.6 <span class=""red"">misses by $-0.58</span></div>\n<div>Revenue of $2.89B (- 3.0% Y/Y) <span class=""red""> misses by $-60M</span></div>\n</div>]"
AAP,https://seekingalpha.com/article/4047876-advance-auto-parts-aap-q4-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1 <span class=""red"">misses by $-0.09</span></div>\n<div>Revenue of $2.08B (+ 2.5% Y/Y) <span class=""green""> beats by $60M</span></div>\n</div>]"
